Season,POS,Player,Team,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
2009,57,Shane Harwood,Rajasthan Royals,3,3,3,10,73,25-Feb,24.33,7.3,20,0,0
2009,58,Thilan Thushara,Chennai Super Kings,3,2,2,8,60,16-Feb,20,7.5,16,0,0
2009,59,LaxMumbai Indians Ratan Shukla,Kolkata Knight Riders,3,9,5,14,100,25-Mar,33.33,7.14,28,0,0
2009,60,Ajantha Mendis,Kolkata Knight Riders,3,4,4,16,117,19-Feb,39,7.31,32,0,0
2009,61,Charl Langeveldt,Kolkata Knight Riders,3,11,4,15,153,15-Mar,5,3.75,8,0,0
2009,62,Johan Botha,Rajasthan Royals,3,3,3,12,74,6-Mar,24.66,6.16,24,0,0
2009,63,Jesse Ryder,Royal Challengers Bangalore,3,5,5,17,115,14-Feb,38.33,6.76,34,0,0
2009,64,Harmeet Singh Bansal,Deccan Chargers,3,7,7,23,192,24-Mar,64,8.4,45.66,0,0
2009,65,Ravichandran Ashwin,Chennai Super Kings,2,2,1,4,13,Apr-34,6.5,3.25,12,0,0
2009,66,Andrew Flintoff,Chennai Super Kings,2,3,3,11,105,15-Jan,52.5,9.54,33,0,0
2009,67,Anureet Singh,Kolkata Knight Riders,2,3,2,5,47,23-Mar,23.5,9.4,15,0,0
2009,68,Chetanya Nanda,Mumbai Indians,2,3,3,8,57,4-Jan,28.5,7.12,24,0,0
2009,69,Vikramjeet Malik,Kings XI Punjab,2,5,5,12,98,14-Feb,49,8.16,36,0,0
2009,70,Dale Steyn,Royal Challengers Bangalore,2,3,3,9,62,11-Mar,31,6.88,27,0,0
2009,71,Sourav Ganguly,Kolkata Knight Riders,2,13,6,12,97,21-Feb,48.5,8.08,36,0,0
2009,72,Joginder Sharma,Chennai Super Kings,2,4,4,7,57,27-Feb,28.5,8.14,21,0,0
2009,73,KP Appanna,Royal Challengers Bangalore,2,5,5,12,87,19-Apr,43.5,7.25,36,0,0
2009,74,Moises Henriques,Kolkata Knight Riders,2,4,4,12,107,12-Mar,53.5,8.79,36.5,0,0
2009,75,Pankaj Singh,Royal Challengers Bangalore,2,3,3,7,65,18-Feb,32.5,9.28,21,0,0
2009,76,Dwayne SMumbai Indiansth,Deccan Chargers,1,8,8,14,124,8-Apr,124,8.85,84,0,0
2009,77,Tyron Henderson,Rajasthan Royals,1,2,2,6,40,30-Jan,40,6.66,36,0,0
2009,78,Graham Napier,Mumbai Indians,1,1,1,4,27,27-Jan,27,6.75,24,0,0
2009,79,Vikram Singh,Kings XI Punjab,1,5,4,9,82,29-Mar,82,9.11,54,0,0
2009,80,Chris Gayle,Kolkata Knight Riders,1,7,7,19,144,21-Mar,144,7.64,113,0,0
2009,81,Rohan Raje,Mumbai Indians,1,4,4,7,72,16-Feb,72,10.53,41,0,0
